ID,Title,Original title,Description,Published at,Created at,Updated at
16,Бродяга,"","**Характеристики:** Ловкость, Мудрость, Харизма
**Черта:** Везунчик
**Навыки:** Проницательность, Скрытность
**Владение инструментами:** Воровские инструменты
**Снаряжение:** Выберите А или Б.
* (А) 2 кинжала, Воровские инструменты, Игровой набор (любой), Спальник, 2 мешочка, Одежда путешественника, 16 зм,
* (Б) 50 зм.

Вы выросли на улицах, в окружении таких же отбросов на обочине жизни, некоторые из которых были друзьями, другие - соперниками. Вы спали, где могли, и выполняли случайную работу за еду. Временами, когда голод становился невыносимым, вы прибегали к воровству. Тем не менее, вы никогда не теряли своей гордости и никогда не оставляли надежды. Судьба ещё не закончила с вами.",2024-10-03 15:23:35 UTC,2024-10-03 15:23:03 UTC,2024-10-03 15:23:35 UTC
15,Солдат,"","**Характеристики:** Сила, Ловкость, Телосложение
**Черта:** Дикий атакующий
**Навыки:** Атлетика, Запугивание
**Владение инструментами:** один Игровой набор на ваш выбор
**Снаряжение:** Выберите А или Б. 
* (А) Копье, Короткий лук, Стрелы (20), Игровой набор (выбранный выше), комплект целителя, Колчан, Одежда путешественника, 14 зм, 
* (Б) 50 зм.

Вы начали обучаться сражению в таком раннем возрасте, что у вас осталось лишь несколько драгоценных воспоминаний о том, какой была жизнь до того, как вы взяли в руки оружие. Битва у вас в крови. Иногда вы ловите себя на том, что рефлекторно выполняете основные боевые упражнения, которым научились в юности. В конце концов, вы применяете это обучение на поле боя, защищая королевство, ведя войну.",2024-10-03 15:23:35 UTC,2024-10-03 15:22:16 UTC,2024-10-03 15:23:35 UTC
14,Писарь,"","**Характеристики:** Ловкость, Интеллект, Мудрость
**Владение инструментом:** Инструменты навигатора
**Навыки:** Анализ, Внимательность
**Владение инструментами:** Инструменты каллиграфа
**Снаряжение:** Выберите А или Б.
* (А) Инструменты каллиграфа, Парадная одежда, Лампа, Масло (3 фляги), Пергамент (12 листов), 23 зм
* (Б) 50 зм.

Вы провели годы взросления в скриптории, монастыре, посвященном сохранению знаний, или в правительственном учреждении, где научились писать четким почерком и создавать изящные тексты. Возможно, вы писали правительственные документы или переписывали тома литературы. Возможно, вы умеете писать стихи, рассказы очередь вы внимательны к деталям, что помогает вам не допускать ошибок в копируемых и создаваемых документах.",2024-10-03 15:23:35 UTC,2024-10-03 15:20:44 UTC,2024-10-03 15:23:35 UTC
13,Моряк,"","**Характеристики:** Сила, Ловкость, Мудрость
**Черта:** Драчун
**Навыки:** Акробатика, Внимательность
**Владение инструментами:** Инструменты навигатора
**Снаряжение:** Выберите А или Б.
* (А) Кинжал, Инструменты навигатора, верёвка, одежда путешественника, 20 зм
* (Б) 50 зм.

Вы жили мореплаванием, ветер дул вам в спину, а палубы качались у вас под ногами. Вы сидели на барных стульях в портах, которых уже и не вспомнить, пережили могучие штормы и обменивались историями с теми, кто живет под водой.",2024-10-03 15:23:35 UTC,2024-10-03 15:18:44 UTC,2024-10-03 15:23:35 UTC
12,Мудрец,"","**Характеристики:** Телосложение, Интеллект, Мудрость
**Черта:** Посвящённый в магию (Волшебник)
**Навыки:** Магия, История
**Владение инструментами:** Инструменты каллиграфа
**Снаряжение:** Выберите А или Б.
* (А) Боевой посох, Книга (История), Инструменты каллиграфа, Ряса, Пергамент (8 листов), 8 зм,
* (Б) 50 зм.

Вы провели годы своего становления, путешествуя между поместьями и монастырями, выполняя различные случайные работы и услуги в обмен на доступ к их библиотекам. Вы провели много долгих вечеров, уткнувшись носом в книги и свитки, изучая знания о мультивселенной (даже основы магии), и ваш разум жаждет большего.",2024-10-03 15:23:35 UTC,2024-10-03 15:18:12 UTC,2024-10-03 15:23:35 UTC
11,Благородный,"","**Характеристики:** Сила, Интеллект, Харизма
**Черта:** Одарённый
**Навыки:** История, Убеждение
**Владение инструментом:** один Игровой набор на ваш выбор
**Снаряжение:** Выберите А или Б.
* (А) Парадная одежда, Игровой набор (тот, что был выбран выше), Духи, 29 зм
* (Б) 50 зм.

Вы были воспитаны в замке, окруженные богатством, властью и привилегиями. Ваша семья состоит из мелких аристократов, которые позаботились о том, чтобы вы получили первоклассное образование, часть которого вы ценили, а часть ненавидели. Время в замке, которое вы провели, наблюдая за своей семьей при дворе, многому научило вас в вопросах лидерства.",2024-10-03 15:23:35 UTC,2024-10-03 15:17:33 UTC,2024-10-03 15:23:35 UTC
10,Торговец,"","**Характеристики:** Телосложение, Интеллект, Харизма
**Черта:** Везунчик
**Навыки:** Уход за животными, Убеждение
**Владение инструментом:** Инструменты навигатора
**Снаряжение:** Выберите А или Б.
* (А) Инструменты навигатора, 2 мешочка, Одежда путешественника, 22 зм
* (Б) 50 зм.

Вы были подмастерьем у погонщика корованов или лавочника, изучая основы торговли. Вы много путешествовали и зарабатывали на жизнь, покупая и продавая сырье, необходимое ремесленникам для занятий своей работой, или готовые работы таких ремесленников. Вы могли перевозить товары из одного места в другое (на корабле, в повозке или караваном) или покупать их у странствующих торговцев и продавать в своей собственной лавке.",2024-10-03 15:23:35 UTC,2024-10-03 15:15:47 UTC,2024-10-03 15:23:35 UTC
9,Отшельник,"","**Характеристики:** Телосложение, Мудрость, Харизма
**Черта:** Лекарь
**Навыки:** Медицина, Религия
**Владение инструментом:** Набор травника
**Снаряжение:** Выберите А или Б.
* (А) Боевой посох, Спальник, Лампа, Масло (3 фляги), Книга (Философия), Одежда путешественника, Набор травника, 16 зм
* (Б) 50 зм.

Вы провели свои ранние годы в уединении в хижине или монастыре, расположенном далеко за окраиной ближайшего поселения. В те дни вашими единственными компаньонами были лесные существа, и те, кто время от времени приходил с новостями из внешнего мира и припасами. Тишина и уединение позволяли вам проводить много часов, размышляя о тайнах мироздания.",2024-10-03 15:23:35 UTC,2024-10-03 15:13:06 UTC,2024-10-03 15:23:35 UTC
8,Путешественник,"","**Характеристики:** Ловкость, Телосложение, Мудрость
**Черта:** Посвящённый в магию (Друид)
**Навыки:** Скрытность, Выживание
**Владение инструментом:** Инструменты картографа
**Снаряжение:** Выберите А или Б.
* (А) Короткий лук, 20 стрел, Инструменты картографа, Спальник, Колчан, Палатка, Одежда путешественника, 3 зм
* (Б) 50 зм.

Вы достигли совершеннолетия на открытом воздухе, вдали от заселенных земель. Ваш дом везде, где вы решили развернуть свой спальный мешок. В дикой местности столько чудес (странные монстры, нетронутые леса и ручьи, заросшие руины великих залов, по которым когда-то ходили великаны) и вы научились постоять за себя во время их исследования. Время от времени вы служили проводником дружелюбным служителям природы, которые были достаточно любезны, чтобы научить вас основам использования магии дикой природы.",2024-10-03 15:23:35 UTC,2024-10-03 15:12:29 UTC,2024-10-03 15:23:35 UTC
7,Стражник,"","**Характеристики:** Сила, Интеллект, Мудрость
**Черта:** Бдительный
**Навыки:** Атлетика, Внимательность
**Владение инструментом:** один Игровой набор на ваш выбор
**Снаряжение:** Выберите А или Б.
* (А) Копье, Легкий арбалет, 20 болтов, Игровой набор (тот, что был выбран выше), Закрытый фонарь, Кандалы, Колчан, Одежда путешественника, 12 зм
* (Б) 50 зм.

Ваши ноги начинают ныть, когда вы вспоминаете бесчисленные часы, которые вы провели на своем посту в башне. Вас учили смотреть одним глазом за стену, высматривая мародеров, выныривающих из близлежащего леса, а другим глазом в город, выискивая карманников и нарушителей спокойствия.",2024-10-03 15:23:35 UTC,2024-10-03 15:11:43 UTC,2024-10-03 15:23:35 UTC
